symbol,company_name,trading_date,trading_time,price
RELIANCE,Reliance Industries,2026-09-01,09:15,2911.02
RELIANCE,Reliance Industries,2026-09-01,09:45,2904.4
RELIANCE,Reliance Industries,2026-09-01,10:15,2898.26
RELIANCE,Reliance Industries,2026-09-01,10:45,2891.6
RELIANCE,Reliance Industries,2026-09-01,11:15,2888.66
RELIANCE,Reliance Industries,2026-09-01,11:45,2880.17
RELIANCE,Reliance Industries,2026-09-01,12:15,2869.33
RELIANCE,Reliance Industries,2026-09-01,12:45,2864.21
RELIANCE,Reliance Industries,2026-09-01,13:15,2866.71
RELIANCE,Reliance Industries,2026-09-01,13:45,2885.64
RELIANCE,Reliance Industries,2026-09-01,14:15,2905.88
RELIANCE,Reliance Industries,2026-09-01,14:45,2916.94
RELIANCE,Reliance Industries,2026-09-01,15:15,2917.56
RELIANCE,Reliance Industries,2026-09-02,09:15,2882.94
RELIANCE,Reliance Industries,2026-09-02,09:45,2890.37
RELIANCE,Reliance Industries,2026-09-02,10:15,2894.14
RELIANCE,Reliance Industries,2026-09-02,10:45,2883.07
RELIANCE,Reliance Industries,2026-09-02,11:15,2878.68
RELIANCE,Reliance Industries,2026-09-02,11:45,2866.15
RELIANCE,Reliance Industries,2026-09-02,12:15,2850.33
RELIANCE,Reliance Industries,2026-09-02,12:45,2861.55
RELIANCE,Reliance Industries,2026-09-02,13:15,2876.7
RELIANCE,Reliance Industries,2026-09-02,13:45,2885.84
RELIANCE,Reliance Industries,2026-09-02,14:15,2901.5
RELIANCE,Reliance Industries,2026-09-02,14:45,2908.38
RELIANCE,Reliance Industries,2026-09-02,15:15,2903.41
RELIANCE,Reliance Industries,2026-09-03,09:15,2903.61
RELIANCE,Reliance Industries,2026-09-03,09:45,2897.74
RELIANCE,Reliance Industries,2026-09-03,10:15,2903.36
RELIANCE,Reliance Industries,2026-09-03,10:45,2893.49
RELIANCE,Reliance Industries,2026-09-03,11:15,2888.58
RELIANCE,Reliance Industries,2026-09-03,11:45,2872.24
